Horizon,Quantile,QL_base_full,QL_base_pre,N_full,N_precrisis,QL_HAR-X-QR_full,QL_HAR-X-QR_pre,Delta_full_HAR-X-QR,Delta_pre_HAR-X-QR,QL_HAR-X-vol-12m_full,QL_HAR-X-vol-12m_pre,Delta_full_HAR-X-vol-12m,Delta_pre_HAR-X-vol-12m,QL_HAR-X-vol-36m_full,QL_HAR-X-vol-36m_pre,Delta_full_HAR-X-vol-36m,Delta_pre_HAR-X-vol-36m
1m,0.05,0.0002813328353075982,0.00026296764771537365,10524,10076,0.00028144402882124145,0.000264153421651691,1.1119351364327363e-07,1.1857739363173325e-06,0.00027483836920936335,0.0002575416313291011,-6.494466098234833e-06,-5.426016386272546e-06,0.00027619945425038034,0.0002600209040288101,-5.133381057217837e-06,-2.946743686563539e-06
1m,0.25,0.0009413586120788032,0.0008699113963984122,10524,10076,0.0009401768496204465,0.0008720054679011672,-1.1817624583567062e-06,2.094071502755008e-06,0.0009285067679509893,0.0008619271443083034,-1.2851844127813902e-05,-7.984252090108713e-06,0.0009342847864572537,0.0008648644498974533,-7.073825621549553e-06,-5.0469465009588595e-06
1m,0.5,0.001298664803284093,0.0011954882782448128,10524,10076,0.0012952238299316528,0.001197005614797134,-3.440973352440268e-06,1.5173365523210927e-06,0.0012816653276390545,0.0011867472285490481,-1.699947564503851e-05,-8.741049695764691e-06,0.0013074124589958001,0.001208458981075524,8.747655711707075e-06,1.2970702830711117e-05
1m,0.75,0.0011641089577509773,0.0010671331585579626,10524,10076,0.0011666231003606546,0.0010723022047600254,2.514142609677224e-06,5.1690462020627555e-06,0.0011616950754790804,0.0010697759800047633,-2.413882271896971e-06,2.642821446800737e-06,0.001182024429832552,0.0010857084900542332,1.7915472081574645e-05,1.8575331496270596e-05
1m,0.95,0.0004578596282064544,0.0004108643222186791,10524,10076,0.00046362170358223517,0.00041920686207691803,5.762075375780789e-06,8.342539858238946e-06,0.0004636699758815658,0.0004178414371831766,5.8103476751114385e-06,6.977114964497528e-06,0.00047235383772307473,0.0004269658674149029,1.4494209516620349e-05,1.6101545196223806e-05
3m,0.05,0.0002626972427522144,0.00024684668213110827,10480,10076,0.0002631733405909962,0.00024589747718506194,4.760978387818491e-07,-9.492049460463337e-07,0.00026144006612502656,0.00024567209737809745,-1.2571766271878156e-06,-1.1745847530108232e-06,0.0002630435970606325,0.0002470379149880427,3.463543084181349e-07,1.9123285693444392e-07
3m,0.25,0.0008466687393501297,0.0007892183202211027,10480,10076,0.0008545446150388766,0.0007963195687818047,7.875875688746954e-06,7.1012485607019945e-06,0.0008318256252837582,0.0007749054381704574,-1.4843114066371535e-05,-1.4312882050645354e-05,0.0008557168015941387,0.0007964451813457463,9.048062244008991e-06,7.226861124643531e-06
3m,0.5,0.0011651680699667516,0.0010711547169663794,10480,10076,0.0011696089991320483,0.0010741513358051953,4.440929165296656e-06,2.996618838815813e-06,0.0011599806605043657,0.001067960716273477,-5.187409462385903e-06,-3.194000692902533e-06,0.0011931532563013384,0.0010977735911356851,2.798518633458677e-05,2.661887416930569e-05
3m,0.75,0.001050909464141238,0.0009453250693664257,10480,10076,0.001065143714805886,0.0009597615848196349,1.4234250664648014e-05,1.4436515453209245e-05,0.0010701226759597749,0.0009673233157583762,1.9213211818536798e-05,2.1998246391950532e-05,0.0010881018706751719,0.000977716765581161,3.7192406533933815e-05,3.239169621473527e-05
3m,0.95,0.0004325680821410873,0.0003682769268152327,10480,10076,0.0004183532165236418,0.0003699026878759165,-1.421486561744553e-05,1.6257610606838194e-06,0.00042693217270987715,0.00036809279767265274,-5.6359094312101714e-06,-1.8412914257995468e-07,0.0004411748309819629,0.00038244438398020333,8.606748840875571e-06,1.4167457164970636e-05
