horizon,end_date,n_obs,ql_har,ql_harx,delta_ql,delta_ql_e4
6m,2014-03-11,7556,0.0002939730051854107,0.0003020036377443039,8.030632558893194e-06,0.08030632558893194
6m,2014-04-09,7577,0.0002944830581773477,0.0003022043853108751,7.721327133527382e-06,0.07721327133527382
6m,2014-05-12,7598,0.00029483233333883096,0.00030212781268248106,7.295479343650104e-06,0.07295479343650103
6m,2014-06-10,7619,0.00029514113291969203,0.00030199141196716274,6.850279047470708e-06,0.06850279047470709
6m,2014-07-09,7640,0.00029539261449766614,0.00030180927481166463,6.4166603139984946e-06,0.06416660313998494
6m,2014-08-07,7661,0.00029567330287244087,0.0003017308240501091,6.0575211776682015e-06,0.060575211776682014
6m,2014-09-05,7682,0.00029589357605224446,0.00030155800760382886,5.664431551584404e-06,0.056644315515844035
6m,2014-10-06,7703,0.00029625337734481784,0.00030154198293356435,5.2886055887465156e-06,0.05288605588746516
6m,2014-11-04,7724,0.0002968131742831957,0.0003017593649680691,4.946190684873358e-06,0.049461906848733576
6m,2014-12-03,7745,0.00029733456154801963,0.0003017944770593068,4.459915511287175e-06,0.04459915511287175
6m,2015-01-05,7766,0.0002977828900131438,0.00030170353478263875,3.920644769494933e-06,0.039206447694949326
6m,2015-02-03,7787,0.00029824254346491125,0.0003016772949471182,3.4347514822069417e-06,0.034347514822069415
6m,2015-03-04,7808,0.0002987072997428467,0.0003016983947872114,2.991095044364725e-06,0.02991095044364725
6m,2015-04-02,7829,0.00029917453554242744,0.00030169987471756395,2.525339175136511e-06,0.02525339175136511
6m,2015-05-04,7850,0.00029960484029135573,0.00030160735443750426,2.0025141461485333e-06,0.020025141461485332
6m,2015-06-02,7871,0.0003000075843530105,0.00030143352642285397,1.4259420698434612e-06,0.014259420698434612
6m,2015-07-01,7892,0.00030033471602240736,0.00030110880495873727,7.740889363299155e-07,0.0077408893632991554
6m,2015-07-30,7913,0.0003005847028399678,0.00030066731635872916,8.261351876133775e-08,0.0008261351876133775
6m,2015-08-28,7934,0.00030073947575681194,0.00030006171651843195,-6.777592383799911e-07,-0.006777592383799911
6m,2015-09-28,7955,0.00030077178490503785,0.00030009156779405754,-6.802171109803173e-07,-0.006802171109803173
6m,2015-10-27,7976,0.0003007822409106823,0.00029973732690390207,-1.0449140067802132e-06,-0.010449140067802131
6m,2015-11-25,7997,0.00030079482586395725,0.00029936267876497745,-1.4321470989798026e-06,-0.014321470989798026
6m,2015-12-24,8018,0.0003007082585134606,0.0002994859083487979,-1.2223501646626699e-06,-0.012223501646626698
6m,2016-01-26,8039,0.00030073022634816436,0.0002990444602005252,-1.6857661476391678e-06,-0.01685766147639168
6m,2016-02-24,8060,0.00030110003619478697,0.00029889129539499657,-2.208740799790397e-06,-0.02208740799790397
6m,2016-03-24,8081,0.00030140176024405404,0.0002987587039270715,-2.6430563169825257e-06,-0.026430563169825255
6m,2016-04-26,8102,0.00030156406308712,0.0002985565483703133,-3.0075147168066863e-06,-0.030075147168066863
6m,2016-05-25,8123,0.0003015997700532525,0.00029831965323286945,-3.2801168203830475e-06,-0.03280116820383047
