Date,Year,Month,nino34_raw,nino34
1988-11-01,1988,11,24.65,-2.0526666666666706
1988-12-01,1988,12,24.63,-1.9690000000000012
1989-01-01,1989,1,24.58,-1.964333333333336
1989-02-01,1989,2,25.28,-1.472333333333335
1989-03-01,1989,3,26.08,-1.203000000000003
1989-04-01,1989,4,26.74,-1.0786666666666669
1989-05-01,1989,5,27.06,-0.8733333333333348
1989-06-01,1989,6,27.14,-0.586666666666666
1989-07-01,1989,7,26.72,-0.5733333333333341
1989-08-01,1989,8,26.33,-0.5250000000000021
1989-09-01,1989,9,26.42,-0.2986666666666622
1989-10-01,1989,10,26.32,-0.39633333333333454
1989-11-01,1989,11,26.25,-0.4526666666666692
1989-12-01,1989,12,26.46,-0.13899999999999935
1990-01-01,1990,1,26.56,0.015666666666664497
1990-02-01,1990,2,26.96,0.20766666666666467
1990-03-01,1990,3,27.33,0.046999999999997044
1990-04-01,1990,4,27.9,0.08133333333333326
1990-05-01,1990,5,28.02,0.086666666666666
1990-06-01,1990,6,27.64,-0.086666666666666
1990-07-01,1990,7,27.38,0.086666666666666
1990-08-01,1990,8,27.07,0.21499999999999986
1990-09-01,1990,9,26.94,0.22133333333333738
1990-10-01,1990,10,26.93,0.2136666666666649
1990-11-01,1990,11,26.81,0.1073333333333295
1990-12-01,1990,12,26.95,0.3509999999999991
1991-01-01,1991,1,27.03,0.4856666666666669
1991-02-01,1991,2,27.07,0.3176666666666641
1991-03-01,1991,3,27.32,0.036999999999999034
1991-04-01,1991,4,28.01,0.19133333333333624
1991-05-01,1991,5,28.2,0.2666666666666657
1991-06-01,1991,6,28.25,0.5233333333333334
1991-07-01,1991,7,28.05,0.7566666666666677
1991-08-01,1991,8,27.53,0.6750000000000007
1991-09-01,1991,9,27.14,0.42133333333333667
1991-10-01,1991,10,27.58,0.8636666666666635
1991-11-01,1991,11,27.9,1.1973333333333294
1991-12-01,1991,12,28.29,1.690999999999999
1992-01-01,1992,1,28.38,1.8356666666666648
1992-02-01,1992,2,28.53,1.777666666666665
1992-03-01,1992,3,28.66,1.376999999999999
1992-04-01,1992,4,29.02,1.2013333333333343
1992-05-01,1992,5,28.98,1.0466666666666669
1992-06-01,1992,6,28.3,0.5733333333333341
1992-07-01,1992,7,27.51,0.21666666666666856
1992-08-01,1992,8,26.91,0.054999999999999716
1992-09-01,1992,9,26.65,-0.06866666666666532
1992-10-01,1992,10,26.42,-0.2963333333333331
1992-11-01,1992,11,26.42,-0.2826666666666675
1992-12-01,1992,12,26.44,-0.15899999999999892
1993-01-01,1993,1,26.69,0.14566666666666706
1993-02-01,1993,2,27.16,0.40766666666666396
1993-03-01,1993,3,27.67,0.38700000000000045
1993-04-01,1993,4,28.41,0.5913333333333348
1993-05-01,1993,5,28.71,0.7766666666666673
1993-06-01,1993,6,28.08,0.3533333333333317
1993-07-01,1993,7,27.52,0.22666666666666657
1993-08-01,1993,8,26.99,0.134999999999998
1993-09-01,1993,9,27.07,0.3513333333333364
1993-10-01,1993,10,26.77,0.05366666666666475
1993-11-01,1993,11,26.71,0.0073333333333316375
1993-12-01,1993,12,26.76,0.16100000000000136
1994-01-01,1994,1,26.64,0.09566666666666634
1994-02-01,1994,2,26.81,0.057666666666662536
1994-03-01,1994,3,27.39,0.10699999999999932
1994-04-01,1994,4,28.08,0.261333333333333
1994-05-01,1994,5,28.24,0.30666666666666487
1994-06-01,1994,6,28.04,0.3133333333333326
1994-07-01,1994,7,27.54,0.24666666666666615
1994-08-01,1994,8,27.38,0.5249999999999986
1994-09-01,1994,9,27.2,0.4813333333333354
1994-10-01,1994,10,27.47,0.753666666666664
1994-11-01,1994,11,27.81,1.1073333333333295
1994-12-01,1994,12,27.85,1.2510000000000012
1995-01-01,1995,1,27.57,1.025666666666666
1995-02-01,1995,2,27.49,0.7376666666666623
1995-03-01,1995,3,27.75,0.46699999999999875
1995-04-01,1995,4,28.1,0.2813333333333361
1995-05-01,1995,5,27.82,-0.11333333333333329
1995-06-01,1995,6,27.59,-0.13666666666666671
1995-07-01,1995,7,27.08,-0.2133333333333347
1995-08-01,1995,8,26.23,-0.625
1995-09-01,1995,9,25.88,-0.8386666666666649
1995-10-01,1995,10,25.84,-0.876333333333335
1995-11-01,1995,11,25.6,-1.1026666666666678
1995-12-01,1995,12,25.65,-0.9490000000000016
1996-01-01,1996,1,25.69,-0.854333333333333
1996-02-01,1996,2,25.89,-0.8623333333333356
1996-03-01,1996,3,26.67,-0.6129999999999995
1996-04-01,1996,4,27.35,-0.4686666666666639
1996-05-01,1996,5,27.55,-0.38333333333333286
1996-06-01,1996,6,27.29,-0.4366666666666674
1996-07-01,1996,7,26.85,-0.4433333333333316
1996-08-01,1996,8,26.64,-0.21499999999999986
1996-09-01,1996,9,26.27,-0.4486666666666643
1996-10-01,1996,10,26.27,-0.44633333333333525
1996-11-01,1996,11,26.29,-0.41266666666667007
1996-12-01,1996,12,25.95,-0.6490000000000009
1997-01-01,1997,1,26.01,-0.5343333333333327
1997-02-01,1997,2,26.38,-0.3723333333333372
1997-03-01,1997,3,27.04,-0.2430000000000021
1997-04-01,1997,4,27.98,0.1613333333333351
1997-05-01,1997,5,28.58,0.6466666666666647
1997-06-01,1997,6,28.82,1.0933333333333337
1997-07-01,1997,7,28.86,1.5666666666666664
1997-08-01,1997,8,28.75,1.8949999999999996
1997-09-01,1997,9,28.85,2.1313333333333375
1997-10-01,1997,10,29.08,2.3636666666666635
1997-11-01,1997,11,29.12,2.417333333333332
1997-12-01,1997,12,28.89,2.2910000000000004
1998-01-01,1998,1,28.93,2.3856666666666655
1998-02-01,1998,2,28.78,2.027666666666665
1998-03-01,1998,3,28.62,1.3369999999999997
1998-04-01,1998,4,28.6,0.7813333333333361
1998-05-01,1998,5,28.51,0.576666666666668
1998-06-01,1998,6,27.34,-0.3866666666666667
1998-07-01,1998,7,26.3,-0.9933333333333323
1998-08-01,1998,8,25.57,-1.2850000000000001
1998-09-01,1998,9,25.46,-1.258666666666663
1998-10-01,1998,10,25.25,-1.4663333333333348
1998-11-01,1998,11,25.24,-1.4626666666666708
1998-12-01,1998,12,24.91,-1.689
1999-01-01,1999,1,24.86,-1.6843333333333348
1999-02-01,1999,2,25.43,-1.3223333333333365
1999-03-01,1999,3,26.33,-0.953000000000003
1999-04-01,1999,4,26.7,-1.118666666666666
1999-05-01,1999,5,26.79,-1.1433333333333344
1999-06-01,1999,6,26.53,-1.1966666666666654
1999-07-01,1999,7,26.13,-1.163333333333334
1999-08-01,1999,8,25.63,-1.2250000000000014
1999-09-01,1999,9,25.63,-1.088666666666665
1999-10-01,1999,10,25.48,-1.2363333333333344
1999-11-01,1999,11,25.12,-1.5826666666666682
1999-12-01,1999,12,24.86,-1.7390000000000008
2000-01-01,2000,1,24.78,-1.764333333333333
2000-02-01,2000,2,25.21,-1.5423333333333353
2000-03-01,2000,3,26.3,-0.9830000000000005
2000-04-01,2000,4,26.95,-0.868666666666666
2000-05-01,2000,5,27.07,-0.8633333333333333
2000-06-01,2000,6,26.94,-0.7866666666666653
2000-07-01,2000,7,26.63,-0.663333333333334
2000-08-01,2000,8,26.37,-0.48499999999999943
2000-09-01,2000,9,26.2,-0.5186666666666646
2000-10-01,2000,10,26.02,-0.6963333333333352
2000-11-01,2000,11,25.92,-0.7826666666666675
2000-12-01,2000,12,25.68,-0.9190000000000005
2001-01-01,2001,1,25.81,-0.7343333333333355
2001-02-01,2001,2,26.12,-0.6323333333333352
2001-03-01,2001,3,26.8,-0.48300000000000054
2001-04-01,2001,4,27.33,-0.488666666666667
2001-05-01,2001,5,27.6,-0.33333333333333215
2001-06-01,2001,6,27.54,-0.18666666666666742
2001-07-01,2001,7,27.25,-0.043333333333333
2001-08-01,2001,8,26.8,-0.054999999999999716
2001-09-01,2001,9,26.52,-0.19866666666666433
2001-10-01,2001,10,26.57,-0.14633333333333454
2001-11-01,2001,11,26.33,-0.3726666666666709
2001-12-01,2001,12,26.19,-0.4089999999999989
2002-01-01,2002,1,26.39,-0.15433333333333366
2002-02-01,2002,2,26.71,-0.04233333333333533
2002-03-01,2002,3,27.29,0.006999999999997897
2002-04-01,2002,4,27.84,0.021333333333334537
2002-05-01,2002,5,28.24,0.30666666666666487
2002-06-01,2002,6,28.44,0.7133333333333347
2002-07-01,2002,7,28.03,0.7366666666666681
2002-08-01,2002,8,27.72,0.8649999999999984
2002-09-01,2002,9,27.81,1.0913333333333348
2002-10-01,2002,10,27.96,1.243666666666666
2002-11-01,2002,11,28.17,1.4673333333333325
2002-12-01,2002,12,27.97,1.3709999999999987
2003-01-01,2003,1,27.15,0.6056666666666644
2003-02-01,2003,2,27.39,0.6376666666666644
2003-03-01,2003,3,27.65,0.36699999999999733
2003-04-01,2003,4,27.68,-0.1386666666666656
2003-05-01,2003,5,27.32,-0.6133333333333333
2003-06-01,2003,6,27.44,-0.2866666666666653
2003-07-01,2003,7,27.5,0.206666666666667
2003-08-01,2003,8,27.11,0.254999999999999
2003-09-01,2003,9,26.99,0.27133333333333454
2003-10-01,2003,10,27.14,0.42366666666666575
2003-11-01,2003,11,27.04,0.33733333333332993
2003-12-01,2003,12,27.03,0.43100000000000094
2004-01-01,2004,1,26.81,0.2656666666666645
2004-02-01,2004,2,26.98,0.22766666666666424
2004-03-01,2004,3,27.4,0.11699999999999733
2004-04-01,2004,4,27.89,0.07133333333333525
2004-05-01,2004,5,28.0,0.06666666666666643
2004-06-01,2004,6,27.86,0.13333333333333286
